id,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_id,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_id,redemption_handgun,redemption_long_gun,redemption_other,returned_id,returned_handgun,returned_long_gun,returned_other,rentals_id,rentals_handgun,rentals_long_gun,private_sale_id,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_id,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
11017,2006-11,Iowa,4572,,20,7141,,5,0,11017,0,0,,11017,3,125,,11017,,,,11017,,,11017,,,,11017,,,,11866
11018,2006-11,Kansas,0,,3013,8225,,202,0,11018,2,5,,11018,275,626,,11018,,,,11018,,,11018,,,,11018,,,,12348
11019,2006-11,Kentucky,100835,,5989,15104,,499,0,11019,15,37,,11019,1097,2551,,11019,,,,11019,,,11019,,,,11019,,,,126127
11020,2006-11,Louisiana,0,,5276,15132,,240,0,11020,4,16,,11020,599,1268,,11020,,,,11020,,,11020,,,,11020,,,,22535
11021,2006-11,Maine,0,,1112,3832,,77,0,11021,7,38,,11021,45,107,,11021,,,,11021,,,11021,,,,11021,,,,5218
11022,2006-11,Mariana Islands,0,,0,2,,0,0,11022,0,0,,11022,0,0,,11022,,,,11022,,,11022,,,,11022,,,,2
11023,2006-11,Maryland,1266,,1439,6894,,6,0,11023,0,2,,11023,43,162,,11023,,,,11023,,,11023,,,,11023,,,,9812
11024,2006-11,Massachusetts,9035,,1701,2010,,71,95,11024,0,0,,11024,0,0,,11024,,,,11024,,,11024,,,,11024,,,,12912
11025,2006-11,Michigan,10205,,1915,21089,,59,0,11025,0,3,,11025,0,427,,11025,,,,11025,,,11025,,,,11025,,,,33698
11026,2006-11,Minnesota,3545,,2777,12690,,117,0,11026,1,7,,11026,71,533,,11026,,,,11026,,,11026,,,,11026,,,,19741
11027,2006-11,Mississippi,562,,3551,17282,,246,0,11027,35,49,,11027,740,1995,,11027,,,,11027,,,11027,,,,11027,,,,24460
11028,2006-11,Missouri,1402,,3864,16706,,201,0,11028,1,14,,11028,177,1980,,11028,,,,11028,,,11028,,,,11028,,,,24345
11029,2006-11,Montana,356,,1104,3852,,106,1,11029,0,11,,11029,270,939,,11029,,,,11029,,,11029,,,,11029,,,,6639
11030,2006-11,Nebraska,1919,,2,4555,,0,0,11030,0,0,,11030,4,122,,11030,,,,11030,,,11030,,,,11030,,,,6602
11031,2006-11,Nevada,763,,2128,2736,,111,0,11031,0,0,,11031,147,126,,11031,,,,11031,,,11031,,,,11031,,,,6011
11032,2006-11,New Hampshire,1418,,1568,2810,,16,0,11032,0,0,,11032,0,4,,11032,,,,11032,,,11032,,,,11032,,,,5816
11033,2006-11,New Jersey,0,,1239,2545,,39,3,11033,0,0,,11033,0,0,,11033,,,,11033,,,11033,,,,11033,,,,3826
11034,2006-11,New Mexico,279,,2390,3921,,160,0,11034,3,6,,11034,280,828,,11034,,,,11034,,,11034,,,,11034,,,,7867
11035,2006-11,New York,3503,,2968,16692,,42,12,11035,0,0,,11035,1,14,,11035,,,,11035,,,11035,,,,11035,,,,23232
11036,2006-11,North Carolina,8032,,216,18925,,118,0,11036,7,34,,11036,1007,2420,,11036,,,,11036,,,11036,,,,11036,,,,30759
11037,2006-11,North Dakota,293,,462,3205,,23,0,11037,1,4,,11037,30,190,,11037,,,,11037,,,11037,,,,11037,,,,4208
11038,2006-11,Ohio,0,,9911,24610,,481,0,11038,5,46,,11038,541,1624,,11038,,,,11038,,,11038,,,,11038,,,,37218
11039,2006-11,Oklahoma,0,,4373,11003,,379,0,11039,6,29,,11039,852,2376,,11039,,,,11039,,,11039,,,,11039,,,,19018
11040,2006-11,Oregon,43,,4793,9110,,265,0,11040,0,0,,11040,0,0,,11040,,,,11040,,,11040,,,,11040,,,,14211
11041,2006-11,Pennsylvania,326,,0,56099,,516,0,11041,0,0,,11041,0,0,,11041,,,,11041,,,11041,,,,11041,,,,56941
11042,2006-11,Puerto Rico,0,,625,114,,19,0,11042,0,0,,11042,0,0,,11042,,,,11042,,,11042,,,,11042,,,,758
11043,2006-11,Rhode Island,0,,352,477,,101,0,11043,0,0,,11043,2,1,,11043,,,,11043,,,11043,,,,11043,,,,933
11044,2006-11,South Carolina,1525,,3886,8933,,154,0,11044,6,5,,11044,421,759,,11044,,,,11044,,,11044,,,,11044,,,,15689
11045,2006-11,South Dakota,0,,654,4778,,38,0,11045,1,2,,11045,50,254,,11045,,,,11045,,,11045,,,,11045,,,,5777
11046,2006-11,Tennessee,0,,8585,16389,,377,0,11046,0,0,,11046,0,0,,11046,,,,11046,,,11046,,,,11046,,,,25351
11047,2006-11,Texas,7371,,16689,39310,,1199,1,11047,76,118,,11047,2853,5634,,11047,,,,11047,,,11047,,,,11047,,,,73251
11048,2006-11,Utah,1713,,2185,6686,,112,0,11048,0,0,,11048,0,0,,11048,,,,11048,,,11048,,,,11048,,,,10696
11049,2006-11,Vermont,0,,448,1684,,21,0,11049,0,0,,11049,0,0,,11049,,,,11049,,,11049,,,,11049,,,,2153
11050,2006-11,Virgin Islands,127,,24,1,,3,0,11050,0,0,,11050,0,0,,11050,,,,11050,,,11050,,,,11050,,,,155
11051,2006-11,Virginia,0,,7924,17557,,282,0,11051,0,0,,11051,0,0,,11051,,,,11051,,,11051,,,,11051,,,,25763
11052,2006-11,Washington,4956,,5817,8532,,236,18,11052,1,4,,11052,596,835,,11052,,,,11052,,,11052,,,,11052,,,,20995
11053,2006-11,West Virginia,0,,2604,10779,,203,0,11053,2,12,,11053,523,3196,,11053,,,,11053,,,11053,,,,11053,,,,17319
11054,2006-11,Wisconsin,0,,3577,17465,,2,0,11054,0,2,,11054,7,379,,11054,,,,11054,,,11054,,,,11054,,,,21432
11055,2006-11,Wyoming,188,,861,2252,,63,9,11055,0,2,,11055,71,249,,11055,,,,11055,,,11055,,,,11055,,,,3695
11056,2006-10,Alabama,0,,6174,10714,,349,0,11056,55,83,,11056,1175,1657,,11056,,,,11056,,,11056,,,,11056,,,,20207
11057,2006-10,Alaska,0,,1481,2445,,88,0,11057,6,13,,11057,165,222,,11057,,,,11057,,,11057,,,,11057,,,,4420
11058,2006-10,Arizona,4638,,5692,6462,,291,0,11058,12,8,,11058,607,573,,11058,,,,11058,,,11058,,,,11058,,,,18283
11059,2006-10,Arkansas,1502,,2782,9554,,209,0,11059,6,39,,11059,555,2065,,11059,,,,11059,,,11059,,,,11059,,,,16712
11060,2006-10,California,14330,,15251,15914,,366,0,11060,0,0,,11060,0,0,,11060,,,,11060,,,11060,,,,11060,,,,45861
11061,2006-10,Colorado,1667,,6423,11316,,447,0,11061,0,0,,11061,0,0,,11061,,,,11061,,,11061,,,,11061,,,,19853
11062,2006-10,Connecticut,3391,,2359,2528,,54,266,11062,0,0,,11062,0,0,,11062,,,,11062,,,11062,,,,11062,,,,8598
11063,2006-10,Delaware,0,,483,1078,,24,0,11063,0,0,,11063,0,0,,11063,,,,11063,,,11063,,,,11063,,,,1585
11064,2006-10,District of Columbia,0,,2,0,,0,0,11064,0,0,,11064,0,0,,11064,,,,11064,,,11064,,,,11064,,,,2
11065,2006-10,Florida,0,,17970,15942,,739,2,11065,7,3,,11065,482,434,,11065,,,,11065,,,11065,,,,11065,,,,35579
11066,2006-10,Georgia,3216,,5989,12437,,279,0,11066,24,61,,11066,835,1874,,11066,,,,11066,,,11066,,,,11066,,,,24715
11067,2006-10,Guam,0,,10,18,,0,0,11067,0,0,,11067,0,0,,11067,,,,11067,,,11067,,,,11067,,,,28
11068,2006-10,Hawaii,496,,0,0,,0,3,11068,0,0,,11068,0,0,,11068,,,,11068,,,11068,,,,11068,,,,499
11069,2006-10,Idaho,1335,,1490,5038,,113,0,11069,3,7,,11069,192,868,,11069,,,,11069,,,11069,,,,11069,,,,9046
11070,2006-10,Illinois,33875,,5323,9732,,278,0,11070,0,0,,11070,0,0,,11070,,,,11070,,,11070,,,,11070,,,,49208
11071,2006-10,Indiana,0,,5470,9964,,314,0,11071,1,19,,11071,1,504,,11071,,,,11071,,,11071,,,,11071,,,,16273
11072,2006-10,Iowa,4698,,24,5694,,3,0,11072,0,1,,11072,3,153,,11072,,,,11072,,,11072,,,,11072,,,,10576
11073,2006-10,Kansas,0,,3206,6587,,247,0,11073,0,4,,11073,288,524,,11073,,,,11073,,,11073,,,,11073,,,,10856
11074,2006-10,Kentucky,99625,,5840,12191,,415,0,11074,17,37,,11074,996,1993,,11074,,,,11074,,,11074,,,,11074,,,,121114
11075,2006-10,Louisiana,3,,5830,13067,,285,0,11075,5,12,,11075,630,1584,,11075,,,,11075,,,11075,,,,11075,,,,21416
11076,2006-10,Maine,0,,1332,5896,,99,0,11076,5,38,,11076,46,191,,11076,,,,11076,,,11076,,,,11076,,,,7607
11077,2006-10,Mariana Islands,0,,0,4,,0,0,11077,0,0,,11077,0,0,,11077,,,,11077,,,11077,,,,11077,,,,4
11078,2006-10,Maryland,1472,,1125,5200,,6,0,11078,0,0,,11078,38,105,,11078,,,,11078,,,11078,,,,11078,,,,7946
11079,2006-10,Massachusetts,9956,,1693,1690,,55,114,11079,0,0,,11079,0,0,,11079,,,,11079,,,11079,,,,11079,,,,13508
11080,2006-10,Michigan,11361,,2035,17772,,75,0,11080,0,3,,11080,2,334,,11080,,,,11080,,,11080,,,,11080,,,,31582
11081,2006-10,Minnesota,3963,,3330,19500,,151,0,11081,1,13,,11081,84,767,,11081,,,,11081,,,11081,,,,11081,,,,27809
11082,2006-10,Mississippi,684,,3228,9702,,214,0,11082,47,71,,11082,731,1608,,11082,,,,11082,,,11082,,,,11082,,,,16285
11083,2006-10,Missouri,1464,,4021,16249,,182,0,11083,9,24,,11083,187,1859,,11083,,,,11083,,,11083,,,,11083,,,,23995
11084,2006-10,Montana,501,,1469,6228,,150,0,11084,1,8,,11084,278,1451,,11084,,,,11084,,,11084,,,,11084,,,,10086
11085,2006-10,Nebraska,1927,,1,3597,,1,0,11085,0,4,,11085,0,130,,11085,,,,11085,,,11085,,,,11085,,,,5660
11086,2006-10,Nevada,693,,2294,2382,,131,0,11086,0,0,,11086,173,166,,11086,,,,11086,,,11086,,,,11086,,,,5839
11087,2006-10,New Hampshire,1720,,1514,3237,,19,0,11087,0,0,,11087,0,3,,11087,,,,11087,,,11087,,,,11087,,,,6493
11088,2006-10,New Jersey,0,,1319,1936,,62,6,11088,0,0,,11088,0,0,,11088,,,,11088,,,11088,,,,11088,,,,3323
11089,2006-10,New Mexico,238,,2502,3758,,117,0,11089,3,8,,11089,261,976,,11089,,,,11089,,,11089,,,,11089,,,,7863
11090,2006-10,New York,4129,,3241,15579,,64,11,11090,0,1,,11090,0,14,,11090,,,,11090,,,11090,,,,11090,,,,23039
11091,2006-10,North Carolina,8884,,221,13996,,93,0,11091,5,25,,11091,985,2215,,11091,,,,11091,,,11091,,,,11091,,,,26424
11092,2006-10,North Dakota,241,,461,4374,,25,0,11092,1,3,,11092,21,182,,11092,,,,11092,,,11092,,,,11092,,,,5308
11093,2006-10,Ohio,0,,9485,15865,,460,0,11093,14,44,,11093,528,947,,11093,,,,11093,,,11093,,,,11093,,,,27343
11094,2006-10,Oklahoma,0,,4803,9211,,399,0,11094,14,27,,11094,895,1821,,11094,,,,11094,,,11094,,,,11094,,,,17170
11095,2006-10,Oregon,48,,4271,8203,,290,0,11095,0,0,,11095,0,0,,11095,,,,11095,,,11095,,,,11095,,,,12812
11096,2006-10,Pennsylvania,138,,0,49226,,85,0,11096,0,0,,11096,0,0,,11096,,,,11096,,,11096,,,,11096,,,,49449
11097,2006-10,Puerto Rico,0,,644,128,,18,0,11097,0,0,,11097,0,0,,11097,,,,11097,,,11097,,,,11097,,,,790
11098,2006-10,Rhode Island,0,,343,424,,92,0,11098,0,0,,11098,0,1,,11098,,,,11098,,,11098,,,,11098,,,,860
11099,2006-10,South Carolina,1564,,3517,6273,,131,0,11099,7,22,,11099,442,747,,11099,,,,11099,,,11099,,,,11099,,,,12703
11100,2006-10,South Dakota,0,,650,6073,,33,0,11100,1,0,,11100,45,321,,11100,,,,11100,,,11100,,,,11100,,,,7123
11101,2006-10,Tennessee,0,,7905,11692,,372,0,11101,0,0,,11101,0,0,,11101,,,,11101,,,11101,,,,11101,,,,19969
11102,2006-10,Texas,6981,,16442,34162,,1144,3,11102,70,90,,11102,2881,5472,,11102,,,,11102,,,11102,,,,11102,,,,67245
11103,2006-10,Utah,1697,,1804,5376,,96,0,11103,0,0,,11103,0,0,,11103,,,,11103,,,11103,,,,11103,,,,8973
11104,2006-10,Vermont,0,,554,1748,,24,0,11104,0,0,,11104,0,0,,11104,,,,11104,,,11104,,,,11104,,,,2326
11105,2006-10,Virgin Islands,97,,32,2,,0,0,11105,0,0,,11105,0,0,,11105,,,,11105,,,11105,,,,11105,,,,131
11106,2006-10,Virginia,0,,7436,12437,,247,0,11106,0,0,,11106,0,0,,11106,,,,11106,,,11106,,,,11106,,,,20120
11107,2006-10,Washington,6409,,6031,9600,,265,23,11107,2,6,,11107,643,1457,,11107,,,,11107,,,11107,,,,11107,,,,24436
11108,2006-10,West Virginia,0,,2569,8331,,196,0,11108,3,9,,11108,515,2292,,11108,,,,11108,,,11108,,,,11108,,,,13915
11109,2006-10,Wisconsin,0,,3949,18096,,4,0,11109,0,5,,11109,6,251,,11109,,,,11109,,,11109,,,,11109,,,,22311
11110,2006-10,Wyoming,203,,818,2340,,56,12,11110,2,8,,11110,87,288,,11110,,,,11110,,,11110,,,,11110,,,,3814
11111,2006-09,Alabama,0,,6257,10357,,322,0,11111,60,85,,11111,1306,1808,,11111,0,0,,11111,,,11111,,,,11111,,,,20195
11112,2006-09,Alaska,0,,1182,2364,,85,0,11112,3,3,,11112,140,201,,11112,0,0,,11112,,,11112,,,,11112,,,,3978
11113,2006-09,Arizona,3608,,6370,6862,,285,0,11113,10,4,,11113,650,502,,11113,0,0,,11113,,,11113,,,,11113,,,,18291
11114,2006-09,Arkansas,463,,2843,8243,,246,0,11114,1,22,,11114,694,2193,,11114,0,0,,11114,,,11114,,,,11114,,,,14705
11115,2006-09,California,12371,,13433,16155,,3352,0,11115,0,0,,11115,0,0,,11115,0,0,,11115,,,11115,,,,11115,,,,45311
11116,2006-09,Colorado,806,,6317,10823,,438,0,11116,0,0,,11116,0,0,,11116,0,0,,11116,,,11116,,,,11116,,,,18384
11117,2006-09,Connecticut,3373,,1868,2013,,42,287,11117,0,0,,11117,0,0,,11117,0,0,,11117,,,11117,,,,11117,,,,7583
11118,2006-09,Delaware,0,,431,914,,12,0,11118,0,0,,11118,0,0,,11118,0,0,,11118,,,11118,,,,11118,,,,1357
11119,2006-09,District of Columbia,0,,1,0,,0,0,11119,0,0,,11119,0,0,,11119,0,0,,11119,,,11119,,,,11119,,,,1
